tool,ind_sub,group_name,subgroup,es.mean,es.lower,es.upper,pval,I2,p_subgroup,n_study,n_obs,p.star,design
PANAS,Positive Affect,gender_group,Female > 60%,0.3095253525965725,0.21186074623351603,0.40718995895962895,1.3071e-6,0.25,0.027895388899999998,23,NA,***,exp
PANAS,Positive Affect,gender_group,Male > 60%,0.31846583046812166,0.15241557648157739,0.48451608445466593,0.0022186133,0,0.027895388899999998,9,NA,**,exp
PANAS,Negative Affect,nature_type_o2,Greenspace - Park,-0.14849516501553844,-0.29148389972144667,-0.005506430309630217,0.0433567746,0.23,4.72899e-5,10,NA,*,exp
PANAS,Negative Affect,nature_type_o2,Greenspace - Street trees,-0.31206421742137863,-0.5196433158242233,-0.10448511901853402,0.0173618538,0,4.72899e-5,4,NA,*,exp
PANAS,Negative Affect,nature_type_o2,Greenspace - Forest,-0.38971553078776733,-0.5546076775313165,-0.22482338404421823,8.9544e-5,0.59,4.72899e-5,20,NA,***,exp
PANAS,Negative Affect,nature_type_o2,Bluespace,-0.3107823513279552,-0.6963662645002366,0.07480156184432624,0.0930146076,0.53,4.72899e-5,6,NA,,exp
PANAS,Negative Affect,nature_type_o2,Greenspace,-0.26224224131926094,-0.7880466906397818,0.26356220800126,0.2383626136,0.7,4.72899e-5,5,NA,,exp
PANAS,Negative Affect,nature_type_o2,Greenspace - Farmland,-0.6870216945350446,-1.0494307783142467,-0.3246126107558425,2.027872e-4,NA,4.72899e-5,1,NA,***,exp
PANAS,Negative Affect,nature_type_o2,Greenspace - Garden,-0.1044417658552906,-0.38555848727719527,0.1766749555666141,0.1328934406,0,4.72899e-5,2,NA,,exp
PANAS,Positive Affect,nature_type_o2,Greenspace - Park,0.3706658289656675,0.17920230364424133,0.5621293542870938,0.0017725465,0.43,9.9e-9,10,NA,**,exp
PANAS,Positive Affect,nature_type_o2,Greenspace - Street trees,0.22752964608857013,0.12834507061728256,0.3267142215598577,0.0053066775,0,9.9e-9,4,NA,**,exp
PANAS,Positive Affect,nature_type_o2,Greenspace - Forest,0.42184958090804564,0.27746264668436316,0.5662365151317281,7.0386e-6,0.45,9.9e-9,20,NA,***,exp
PANAS,Positive Affect,nature_type_o2,Bluespace,0.23481197683976548,-0.04515753512301571,0.5147814888025467,0.0757461813,0,9.9e-9,4,NA,,exp
PANAS,Positive Affect,nature_type_o2,Greenspace,0.38814879877868197,0.09525450226052057,0.6810430952968434,0.0212152296,0,9.9e-9,5,NA,*,exp
PANAS,Positive Affect,nature_type_o2,Greenspace - Farmland,0.33847260695194353,-0.017215633470717417,0.6941608473746045,0.0621673956,NA,9.9e-9,1,NA,,exp
PANAS,Positive Affect,nature_type_o2,Greenspace - Garden,0.05047339319229308,-0.28626345188332586,0.38721023826791207,0.3078038864,0,9.9e-9,2,NA,,exp
PANAS,Negative Affect,Region,North America,-0.05831394835813322,-0.8740227818315289,0.7573948851152625,0.7874692557,0.65,0.3469433642,3,NA,,exp
PANAS,Negative Affect,Region,Asia,-0.29136327552619856,-0.46365968645253963,-0.11906686459985749,0.002918826,0.48,0.3469433642,14,NA,**,exp
PANAS,Negative Affect,Region,Europe,-0.34093743351860856,-0.45625026568492527,-0.22562460135229184,1.253e-6,0.46,0.3469433642,31,NA,***,exp
PANAS,Positive Affect,Region,North America,0.5285731644994991,-0.5885716426373748,1.645717971636373,0.1787196141,0.75,0.7804317212,3,NA,,exp
PANAS,Positive Affect,Region,Asia,0.33950728235025196,0.1884928935938062,0.49052167110669775,3.132701e-4,0.32,0.7804317212,14,NA,***,exp
PANAS,Positive Affect,Region,Europe,0.35537389592934304,0.25836893594784044,0.45237885591084565,3.57e-8,0.22,0.7804317212,29,NA,***,exp
PANAS,Negative Affect,Season,Winter,-0.22942865250793043,-0.40562134316562337,-0.05323596185023749,0.0304114627,0,0.0031713268,3,NA,*,exp
PANAS,Negative Affect,Season,Fall,-0.3796550388481107,-0.6638859052317068,-0.09542417246451462,0.0138980062,0.59,0.0031713268,11,NA,*,exp
PANAS,Negative Affect,Season,Summer; Fall,-0.1788479084287469,-0.4326496269947234,0.0749538101372296,0.110695127,0,0.0031713268,4,NA,,exp
PANAS,Negative Affect,Season,Spring,-0.5657650408841515,-1.0699999699942946,-0.061530111774008356,0.0356902944,0.69,0.0031713268,5,NA,*,exp
PANAS,Negative Affect,Season,Spring; Summer,-0.06708698038046862,-0.7602596011075391,0.6260856403466017,0.8495518867,NA,0.0031713268,1,NA,,exp
PANAS,Negative Affect,Season,Fall; Winter,0.08292727687104447,-0.9726085686196668,1.1384631223617558,0.5005568351,0,0.0031713268,2,NA,,exp
PANAS,Negative Affect,Season,Summer,-0.43783428652487055,-0.8477256834572297,-0.027942889592511455,0.0413192778,0.47,0.0031713268,5,NA,*,exp
PANAS,Negative Affect,Season,Spring; Summer; Fall,-0.25495987677215004,-0.4564032330198128,-0.0535165205244873,0.0275028756,0,0.0031713268,4,NA,*,exp
PANAS,Positive Affect,Season,Winter,0.2070439155172274,0.09486198694249426,0.31922584409196053,0.0154904815,0,5.725e-7,3,NA,*,exp
PANAS,Positive Affect,Season,Fall,0.3975541670125566,0.14640134738144123,0.6487069866436719,0.0054744979,0.4,5.725e-7,11,NA,**,exp
PANAS,Positive Affect,Season,Summer; Fall,0.1513211690294367,0.07409902966241655,0.22854330839645687,0.0083158119,0,5.725e-7,4,NA,**,exp
PANAS,Positive Affect,Season,Spring,0.59631345518821,0.35104878322985766,0.8415781271465623,0.0025108835,0,5.725e-7,5,NA,**,exp
PANAS,Positive Affect,Season,Spring; Summer,0.3882435610601959,-0.3120623229920935,1.0885494451124853,0.2772192925,NA,5.725e-7,1,NA,,exp
PANAS,Positive Affect,Season,Fall; Winter,0.30809372774423777,-0.23818245659313836,0.854369912081614,0.0882669709,0,5.725e-7,2,NA,,exp
PANAS,Positive Affect,Season,Summer,0.4692271026220962,-0.05784944859390806,0.9963036538381005,0.0618961207,0,5.725e-7,3,NA,,exp
PANAS,Positive Affect,Season,Spring; Summer; Fall,0.47222503932290383,0.08774737775241498,0.8567027008933927,0.0297468611,0.54,5.725e-7,4,NA,*,exp
PANAS,Negative Affect,subgroup_design,2ba,-0.30140368588666,-0.4744738325795397,-0.12833353919378035,0.002555583,0.36,0.897739321,13,NA,**,exp
PANAS,Negative Affect,subgroup_design,1ba,-0.2899806142139266,-0.4310050321142468,-0.1489561963136065,2.840384e-4,0.61,0.897739321,25,NA,***,exp
PANAS,Negative Affect,subgroup_design,2aa,-0.34391849340105424,-0.56009972038975,-0.12773726641235852,0.0057588948,0.48,0.897739321,10,NA,**,exp
PANAS,Positive Affect,subgroup_design,2ba,0.48512489334829534,0.2861503639734221,0.6840994227231686,1.846237e-4,0.46,0.0592582685,13,NA,***,exp
PANAS,Positive Affect,subgroup_design,1ba,0.33290330347131347,0.24093615905195095,0.42487044789067596,1.037e-7,0.13,0.0592582685,25,NA,***,exp
PANAS,Positive Affect,subgroup_design,2aa,0.229876189895216,0.08932934657986447,0.3704230332105675,0.0061511985,0,0.0592582685,8,NA,**,exp
POMS,Anger,age_group,Young adults,-0.7300786344944176,-0.8989238778537048,-0.5612333911351304,0,0.85,6.535877e-4,80,NA,***,exp
POMS,Anger,age_group,Adults,-0.37228052020746766,-0.554964595042419,-0.1895964453725163,5.28163e-4,0.46,6.535877e-4,17,NA,***,exp
